"server=,"
Кабель юсб,25 грн.,Ровно,https://www.olx.ua/obyavlenie/kabel-yusb-IDJ0R4w.html#c814f8782a
"SSD 1.92 Tb DELL (Intel) 6Gbps 2.5"" SATA",5 000 грн.,"Харьков, Московский",https://www.olx.ua/obyavlenie/ssd-1-92-tb-dell-intel-6gbps-2-5-sata-IDJG29J.html#c814f8782a
G3930 Intel 1151,950 грн.,Херсон,https://www.olx.ua/obyavlenie/g3930-intel-1151-IDKqT2W.html?sd=1#c814f8782a
"Оперативная память (ОЗУ), DDR4 - 2666 32 gb Hynix",2 000 грн.,"Харьков, Московский",https://www.olx.ua/obyavlenie/operativnaya-pamyat-ozu-ddr4-2666-32-gb-hynix-IDJG1sd.html?sd=1#c814f8782a
"Оперативная память (ОЗУ), DDR4 - 2666 32 gb Samsung",2 000 грн.,"Харьков, Московский",https://www.olx.ua/obyavlenie/operativnaya-pamyat-ozu-ddr4-2666-32-gb-samsung-IDJG1ae.html?sd=1#c814f8782a
Материнская плата 775,200 грн.,Южноукраинск,https://www.olx.ua/obyavlenie/materinskaya-plata-775-IDGFa9N.html?sd=1#c814f8782a
Lutron Homeworks H8P5-CE процесор,30 000 грн.,"Львов, Железнодорожный",https://www.olx.ua/obyavlenie/lutron-homeworks-h8p5-ce-protsesor-IDKqT1v.html#c814f8782a
Материнская плата MSI Z77A-G43 s1155,2 399 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/materinskaya-plata-msi-z77a-g43-s1155-IDKqT1k.html#c814f8782a
Бокс на диски асус,120 грн.,Луцк,https://www.olx.ua/obyavlenie/boks-na-diski-asus-IDDhW1p.html#c814f8782a
Мишка havit оптична HV-MS689,79 грн.,"Львов, Сиховский",https://www.olx.ua/obyavlenie/mishka-havit-optichna-hv-ms689-IDKbkbz.html?sd=1#c814f8782a
Клавіатура Havit HV-KB432L black,1 050 грн.,"Львов, Сиховский",https://www.olx.ua/obyavlenie/klavatura-havit-hv-kb432l-black-IDKaEUc.html?sd=1#c814f8782a
Жёсткий диск SAMSUNG SP0822N (80GB/7200rpm/2M/PATA),100 грн.,"Киев, Голосеевский",https://www.olx.ua/obyavlenie/zhestkiy-disk-samsung-sp0822n-80gb-7200rpm-2m-pata-IDJzH2A.html?sd=1#c814f8782a
Комплектующие к системному блоку ( по отдельности),100 грн.,Бердичев,https://www.olx.ua/obyavlenie/komplektuyuschie-k-sistemnomu-bloku-po-otdelnosti-IDFL9G7.html?sd=1#c814f8782a
Видеокарта MSI PCI-Ex Radeon R7 240 Low Profile 1GB DDR3,750 грн.,Чернигов,https://www.olx.ua/obyavlenie/videokarta-msi-pci-ex-radeon-r7-240-low-profile-1gb-ddr3-IDKqSXY.html?sd=1#c814f8782a
Клавіатура і мишка за гарячою ціною 250 грн.,250 грн.,Ивано-Франковск,https://www.olx.ua/obyavlenie/klavatura-mishka-za-garyachoyu-tsnoyu-250-grn-IDKqSZa.html?sd=1#c814f8782a
"Комплект LGA2011 Xeon 2689 и x79 2,81b Новая материнка",4 000 грн.,Терновка,https://www.olx.ua/obyavlenie/komplekt-lga2011-xeon-2689-i-x79-2-81b-novaya-materinka-IDIoG6I.html?sd=1#c814f8782a
HDD диски на запчасти.,70 грн.,"Харьков, Холодногорский",https://www.olx.ua/obyavlenie/hdd-diski-na-zapchasti-IDKbDUa.html?sd=1#c814f8782a
DVD дисковод Writer Model SH-S202,80 грн.,"Харьков, Холодногорский",https://www.olx.ua/obyavlenie/dvd-diskovod-writer-model-sh-s202-IDKbDLh.html?sd=1#c814f8782a
"SSD диск Kingston SSDNow V300 120GB 2.5"" SATAIII MLC (SV300S37A/120G)",650 грн.,Терновка,https://www.olx.ua/obyavlenie/ssd-disk-kingston-ssdnow-v300-120gb-2-5-sataiii-mlc-sv300s37a-120g-IDHTjOy.html?sd=1#c814f8782a
Блок питания Fortrex,75 грн.,"Харьков, Холодногорский",https://www.olx.ua/obyavlenie/blok-pitaniya-fortrex-IDKbCPV.html?sd=1#c814f8782a
Материнская плата ASUS P5L - VM 1394,300 грн.,"Харьков, Холодногорский",https://www.olx.ua/obyavlenie/materinskaya-plata-asus-p5l-vm-1394-IDKbDas.html?sd=1#c814f8782a
Продаю usb кабеля для передачи данных.,60 грн.,Краснодон,https://www.olx.ua/obyavlenie/prodayu-usb-kabelya-dlya-peredachi-dannyh-IDKbDWe.html?sd=1#c814f8782a
Продам HDD 500гб SATA,500 грн.,Новая Водолага,https://www.olx.ua/obyavlenie/prodam-hdd-500gb-sata-IDE1trF.html#c814f8782a
"Материнська плата Biostar A780L3L ,sAM3",700 грн.,Чернигов,https://www.olx.ua/obyavlenie/materinska-plata-biostar-a780l3l-sam3-IDKqSX2.html?sd=1#c814f8782a
Жесткий диск 320 Гб Sata,299 грн.,"Харьков, Немышлянский",https://www.olx.ua/obyavlenie/zhestkiy-disk-320-gb-sata-IDJgFUF.html?sd=1#c814f8782a
Срочно продам! Видеокарту Nvidia GigaByte GTX1060 6GB DDR5,4 500 грн.,"Харьков, Шевченковский",https://www.olx.ua/obyavlenie/srochno-prodam-videokartu-nvidia-gigabyte-gtx1060-6gb-ddr5-IDKqSWQ.html#c814f8782a
Майнинг ферма 12хSapphire 4gb. 16$ в сутки,43 626 грн.,Бердянск,https://www.olx.ua/obyavlenie/mayning-ferma-12hsapphire-4gb-16-v-sutki-IDKqSW3.html#c814f8782a;promoted
Видеокарта MSI RADEON RX 460 OC 2Gb GDDR5,1 999 грн.,Чернигов,https://www.olx.ua/obyavlenie/videokarta-msi-radeon-rx-460-oc-2gb-gddr5-IDKqSSx.html?sd=1#c814f8782a
Видеокарта Nvidia gforse gts 250 512 mb,350 грн.,Тростянец,https://www.olx.ua/obyavlenie/videokarta-nvidia-gforse-gts-250-512-mb-IDKqSUF.html?sd=1#c814f8782a
Фирменный надежный Vention HDMI 2.0 4К/60 Гц кабель длиной 1 м,180 грн.,Бровары,https://www.olx.ua/obyavlenie/firmennyy-nadezhnyy-vention-hdmi-2-0-4k-60-gts-kabel-dlinoy-1-m-IDBdiBq.html?sd=1#c814f8782a
"Каркас, корпус, риг 120x35x35 см для майнинг фермы для 8-12 видеокарт",1 100 грн.,"Киев, Святошинский",https://www.olx.ua/obyavlenie/karkas-korpus-rig-120x35x35-sm-dlya-mayning-fermy-dlya-8-12-videokart-IDJSujI.html#c814f8782a
Микрофон в исправном состоянии.,120 грн.,Каменское,https://www.olx.ua/obyavlenie/mikrofon-v-ispravnom-sostoyanii-IDKqSUs.html?sd=1#c814f8782a
Видеокарта Asus GeForce EN9600GT/HTDI/512M/A 256bit,400 грн.,Херсон,https://www.olx.ua/obyavlenie/videokarta-asus-geforce-en9600gt-htdi-512m-a-256bit-IDI7QZ4.html?sd=1#c814f8782a
"Дисплейный модуль, матрица в сборе для Lenovo A3500",400 грн.,"Одесса, Приморский",https://www.olx.ua/obyavlenie/displeynyy-modul-matritsa-v-sbore-dlya-lenovo-a3500-IDEIgAW.html?sd=1#c814f8782a
